mean_f_lambda,n_data,noise_f_lambda,unc_f_lambda,wavelength,continuum
0.0,0.0,0.0,0.0,500.0,0.0
0.0,0.0,0.0,0.0,504.0,0.0
0.0,0.0,0.0,0.0,508.0,0.0
0.0,0.0,0.0,0.0,512.0,0.0
0.0,0.0,0.0,0.0,516.0,0.0
0.0,0.0,0.0,0.0,520.0,0.0
0.0,0.0,0.0,0.0,524.0,0.0
0.0,0.0,0.0,0.0,528.0,0.0
0.0,0.0,0.0,0.0,532.0,0.0
0.0,0.0,0.0,0.0,536.0,0.0
0.0,0.0,0.0,0.0,540.0,0.0
0.0,0.0,0.0,0.0,544.0,0.0
0.0,0.0,0.0,0.0,548.0,0.0
0.0,0.0,0.0,0.0,552.0,0.0
0.0,0.0,0.0,0.0,556.0,0.0
0.0,0.0,0.0,0.0,560.0,0.0
0.0,0.0,0.0,0.0,564.0,0.0
0.0,0.0,0.0,0.0,568.0,0.0
0.0,0.0,0.0,0.0,572.0,0.0
0.0,0.0,0.0,0.0,576.0,0.0
0.0,0.0,0.0,0.0,580.0,0.0
0.0,0.0,0.0,0.0,584.0,0.0
0.0,0.0,0.0,0.0,588.0,0.0
0.0,0.0,0.0,0.0,592.0,0.0
0.0,0.0,0.0,0.0,596.0,0.0
0.0,0.0,0.0,0.0,600.0,0.0
0.0,0.0,0.0,0.0,604.0,0.0
0.0,0.0,0.0,0.0,608.0,0.0
0.0,0.0,0.0,0.0,612.0,0.0
0.0,0.0,0.0,0.0,616.0,0.0
0.0,0.0,0.0,0.0,620.0,0.0
0.0,0.0,0.0,0.0,624.0,0.0
0.0,0.0,0.0,0.0,628.0,0.0
-3.64751935005188,1.0,0.0,,632.0,0.0
0.8162373345611351,28.0,0.4347622432314495,0.5575226160422737,636.0,0.16825230197111196
0.5829236374961005,27.0,0.37631654583970703,0.4466651446070326,640.0,0.17312154684180034
0.1958791282441881,27.0,0.3451378625122609,0.3192882376562592,644.0,0.1781000475793242
0.5034260322098378,27.0,0.32506750429834924,0.3209914648085697,648.0,0.1831895541556102
0.4887036845650313,53.0,inf,0.9253453746091193,652.0,0.18839183347591262
0.02742957347072661,80.0,0.18744794166044854,0.7380758576427957,656.0,0.19370866943662293
0.6902135362070573,79.0,0.16329030633279934,0.7148012316552443,660.0,0.19914186298291817
-0.6590615493644562,84.0,inf,0.6191726332596593,664.0,0.0
0.12347070242349918,104.0,0.12786490805849393,0.5661025697207079,668.0,0.21036461220168504
0.1152468600831046,127.0,0.16611474339807022,0.3781184617988027,672.0,0.21615785552506595
0.5066306736400853,130.0,0.14422903840261658,0.24296902445669336,676.0,0.22207483185004917
0.3214387854472186,136.0,inf,0.24900720105324425,680.0,0.22811742822496592
0.40787471091229616,154.0,0.1197976889858031,0.2167646480979592,684.0,0.23428754908954053
0.2648533129422025,152.0,0.10639411068611616,0.2409853690213044,688.0,0.2405871163314564
0.410046415112447,160.0,0.10900344629701443,0.14720235058795605,692.0,0.24701806934277293
0.10919099238447168,220.0,0.11460775337554335,0.16408486019240767,696.0,0.25358236507619375
0.4134276565352094,248.0,0.09371264467540244,0.15120189578474205,700.0,0.2602819781011887
0.4295382668546105,261.0,inf,0.1612280027419754,704.0,0.2671189006599694
0.13089421046994446,289.0,0.090938884985658,0.12179572601536764,708.0,0.2740951427233214
0.21676938660394654,290.0,0.08741873638013263,0.11584373984822233,712.0,0.28121273204629177
0.13280257383929722,295.0,0.07326457265253622,0.10959289971555036,716.0,0.2884737142237358
0.10823867274743934,315.0,0.06583462962374961,0.3354472561979928,720.0,0.295880152745722
0.380010835691965,336.0,0.060983259287855036,0.16794921821515188,724.0,0.3034341290527979
0.014199994253185837,341.0,0.07631362657126743,0.16743091627396878,728.0,0.3111377425911164
0.3771849099590101,386.0,inf,0.12586687000838526,732.0,0.3189931108674259
0.39049599503245547,403.0,0.08519368501326635,0.12945049325752644,736.0,0.32700236950392253
0.2437092107168483,409.0,0.07392159062801545,0.11784622214552268,740.0,0.33516767229296796
0.4526402665186763,456.0,0.07065246954808455,0.11002342087213356,744.0,0.343491191251673
0.36509019048415897,473.0,inf,0.10812099619001064,748.0,0.3519751166763472
0.4880113035246644,519.0,0.06261476922745184,0.120838332173592,752.0,0.3606216571968172
0.5577315512680461,603.0,inf,0.16919385878200893,756.0,0.3694330398306134
0.2804807588245267,674.0,0.05629045127836444,0.1251910871360777,760.0,0.3784115100370265
0.4587951763077315,751.0,0.054191115466395975,0.13895091208460011,764.0,0.3875593317710354
0.14868858743376848,771.0,0.04918147043076503,0.12699701077153905,768.0,0.39687878753710615
0.4579650996777933,846.0,inf,0.1277054545065737,772.0,0.40637217844286466
0.444355302117424,956.0,inf,0.09764932625980237,776.0,0.41604182425264236
0.3602807672206915,1021.0,inf,0.1020771982647077,780.0,0.4258900634408974
0.35757228166209937,1073.0,inf,0.08056043447808439,784.0,0.43591925324551084
0.5308161388251865,1157.0,inf,0.08454265907338154,788.0,0.4461317697209602
0.5007520528407176,1227.0,0.038461670561488914,0.07347541154588293,792.0,0.45653000779136976
0.3660315742089608,1279.0,inf,0.06742325918388495,796.0,0.4671163813034399
0.4520551936300235,1380.0,inf,0.06018587622596935,800.0,0.4778933230792555
0.32951581708901345,1465.0,0.03974600992989333,0.05316453114600416,804.0,0.48886328496897485
0.4064860549062781,1535.0,inf,0.048799981402872734,808.0,0.5000287379033992
0.2794644188912228,1597.0,0.036410041267389184,0.04346335662026358,812.0,0.5113921719464244
0.32996140047429845,1644.0,inf,0.048556253014275054,816.0,0.522956096347376
